%E,N(m),G(m/s2):
162.00,-96.814056575159,-22.877774941353
163.00,-96.041534560106,-22.354018464191
164.00,-93.720022799643,-23.448715191057
165.00,-92.623041117071,-24.658842856174
166.00,-91.171095589854,-26.176029128849
167.00,-90.217724956067,-27.201253218808
168.00,-88.872877610543,-28.495791770447
169.00,-87.361386949442,-29.953665558334
170.00,-86.230190753367,-31.131873071365
171.00,-85.098612584551,-32.309713733609
172.00,-83.865329627855,-33.710948044197
173.00,-82.615088223589,-35.097072452575
174.00,-81.993313041828,-35.793137632323
175.00,-80.850629448557,-37.269185954742
176.00,-80.775935402942,-39.134357594027
177.00,-81.683019185019,-40.200752929863
178.00,-83.109410805953,-41.404850678459
179.00,-84.563338340664,-42.575550968138
180.00,-85.601429282354,-43.514894992860
181.00,-87.139956186364,-44.944207752768
182.00,-88.202933908891,-45.855294116080
183.00,-89.504775519821,-46.841694743527
184.00,-91.239591453846,-48.025085496851
185.00,-92.514679839370,-49.045833941317
186.00,-93.712630374529,-50.156100707950
187.00,-94.857133208113,-51.321386527694
188.00,-96.025249403113,-52.463000443497
189.00,-97.869509431191,-54.248072634366
190.00,-98.868034291099,-55.229371826328
191.00,-100.214718257535,-56.521999668743
192.00,-101.676806381694,-57.682492133880
193.00,-103.686524440699,-59.278991774058
194.00,-104.878688036610,-60.395470048975
195.00,-106.193162738828,-61.720838187144
196.00,-107.505456894591,-63.048365397108
197.00,-108.574805061978,-63.951966247542
198.00,-110.190864065737,-64.188886221688
199.00,-111.768695737953,-63.191443662643
200.00,-112.595024010467,-62.367858392525
201.00,-113.951219349486,-61.085213216777
202.00,-115.486066062528,-59.651949260814
203.00,-116.762735697350,-58.633179207612
204.00,-117.937468357042,-57.498374838555
205.00,-119.332889775568,-55.929044068857
206.00,-120.725700685985,-54.357395963262
207.00,-121.979697788053,-52.974668328313
